ENSEMBL,gene_symbol,gene_name,baseMean,log2FoldChange,foldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.5,Gnai3,"guanine nucleotide binding protein (G protein), alpha inhibiting 3",3190.7138560792837,-0.008184706616140328,0.9943428559310903,0.0793668120058957,-0.10312505201207192,0.9178637223903185,0.96175561566069
ENSMUSG00000000028.16,Cdc45,cell division cycle 45,20.865523829279745,-0.3516154780398762,0.7837060405311082,0.3219304390481297,-1.0922094818977601,0.27474103574281666,0.5073399306790242
ENSMUSG00000000031.17,H19,"H19, imprinted maternally expressed transcript",6.947546498199469,-1.1443141990777188,0.45240469321051546,0.6623360042166605,-1.7276943904492856,0.08404302979243759,0.24243205480280475
ENSMUSG00000000037.18,Scml2,Scm polycomb group protein like 2,1.0836447160958602,0.5050327298799737,1.41915555168361,1.3529919676416555,0.3732710481351012,0.7089467220611219,NA
ENSMUSG00000000049.12,Apoh,apolipoprotein H,65799.09715430824,0.017696170630886222,1.0123415873093895,0.06501827714166483,0.27217224769473647,0.7854895797382369,0.8977783725210843
ENSMUSG00000000056.8,Narf,nuclear prelamin A recognition factor,1052.0708633657166,0.2084674473831569,1.1554601043472241,0.1861371000650213,1.1199672032621932,0.2627277382880297,0.49392485065277736
ENSMUSG00000000058.7,Cav2,caveolin 2,123.42409265669349,-0.1849066326650883,0.8797060062821014,0.15191530140684883,-1.2171692446561682,0.2235398291970938,0.446550043695221
ENSMUSG00000000078.8,Klf6,Kruppel-like factor 6,856.010498036903,-0.0498897770164487,0.9660101300042926,0.19423604779437648,-0.2568512775201407,0.7972935838396735,0.9033060373688133
ENSMUSG00000000085.17,Scmh1,sex comb on midleg homolog 1,159.48723904125856,0.287891466958327,1.2208546650848056,0.21309216288317676,1.3510185595899056,0.17668948750509017,0.3868010258191563
ENSMUSG00000000088.8,Cox5a,cytochrome c oxidase subunit 5A,3055.0071272695754,0.11427085778794767,1.0824278451213645,0.06291581009282025,1.8162502814374137,0.06933198817983456,0.2120193301923662
